RETAILER_CODE,RANG,GAME_CODE_RECOMMANDE,SCORE_POPULARITE_GLOBALE
10000001,1,6,110542381444
10000001,2,3,100484510032
10000001,3,7,98673824793
10000001,4,5,95018832108
10000001,5,2,92591841905
20200700,1,6,110542381444
20200700,2,3,100484510032
20200700,3,7,98673824793
20200700,4,5,95018832108
20200700,5,2,92591841905
20201001,1,6,110542381444
20201001,2,3,100484510032
20201001,3,7,98673824793
20201001,4,5,95018832108
20201001,5,4,85292757074
20202701,1,6,110542228082
20202701,2,7,98673671914
20202701,3,5,95018747746
20202701,4,4,85292762690
20202701,5,1,59492690176
20203301,1,6,110032665891
20203301,2,3,99426543574
20203301,3,2,91656629914
20203301,4,4,85292762690
20203301,5,1,59492690176
20203801,1,7,98673346082
20203801,2,5,95018683370
20203801,3,2,92591390656
20203801,4,4,85292316587
20203801,5,1,59492425761
20204101,1,3,100484504583
20204101,2,7,98673819634
20204101,3,5,95018824908
20204101,4,1,59492684930
20204101,5,10,51487674237
20204401,1,6,110542381444
20204401,2,3,100484510032
20204401,3,7,98673824793
20204401,4,5,95018832108
20204401,5,2,92591841905
20204801,1,7,98673683589
20204801,2,2,92591841905
20204801,3,4,85292678746
20204801,4,1,59492581247
20204801,5,10,51487674237
20205101,1,3,100484494760
20205101,2,5,95018823515
20205101,3,2,92591841905
20205101,4,4,85292762690
20205101,5,1,59492690176
20205301,1,6,110542381444
20205301,2,2,92591790324
20205301,3,4,85292762690
20205301,4,1,59492600944
20205301,5,10,51487674237
20205801,1,3,100484509716
20205801,2,7,98673824793
20205801,3,2,92591841610
20205801,4,4,85292762499
20205801,5,1,59492690176
20206101,1,6,110542381444
20206101,2,3,100484510032
20206101,3,7,98673824793
20206101,4,5,95018832108
20206101,5,2,92591636824
20206501,1,3,100484498057
20206501,2,7,98673824793
20206501,3,5,95018832108
20206501,4,4,85292762690
20206501,5,1,59492690176
20206701,1,6,110490799342
20206701,2,5,94957686537
20206701,3,2,92591841905
20206701,4,4,85246177534
20206701,5,10,51487674237
20206901,1,6,110542381444
20206901,2,3,100484510032
20206901,3,7,98673824793
20206901,4,5,95018832108
20206901,5,2,92591841905
20207101,1,6,110542381444
20207101,2,3,100484510032
20207101,3,7,98673824793
20207101,4,5,95018832108
20207101,5,2,92591841905
20207501,1,6,110542381444
20207501,2,3,100484510032
20207501,3,7,98673824793
20207501,4,5,95018832108
20207501,5,2,92591841905
20211250,1,6,110505772283
20211250,2,7,98673824793
20211250,3,5,94944491313
20211250,4,2,92591841905
20211250,5,4,85235106044
20216301,1,6,110542355228
20216301,2,3,100484510032
20216301,3,5,95018817627
20216301,4,1,59492676428
